Time|s,DOAScon.supFanStart,testBed.returnairtemp,testBed.outdoorairtemp
1.6848e+07,0,293.15,308.15
1.6848e+07,0,293.15,308.15
1.6848e+07,0,293.15,308.15
1.6848e+07,0,293.15323,308.14978
1.6848e+07,0,293.15323,308.14978
1.6848e+07,0,293.15323,308.14978
1.6848e+07,0,293.15323,308.14978
1.6848e+07,0,293.1532,308.14978
1.6848e+07,0,293.1532,308.14978
1.6848e+07,0,293.1532,308.14975
1.6848e+07,0,293.1532,308.14975
16848002,0,293.1532,308.14966
16848002,0,293.1532,308.14966
16848002,0,293.1532,308.14954
16848002,0,293.1532,308.14954
16848002,0,293.1532,308.14926
16848002,0,293.1532,308.14926
16848004,0,293.1532,308.14847
16848004,0,293.1532,308.14847
16848006,0,293.1532,308.14825
16848006,0,293.1532,308.14825
16848012,0,293.16003,308.1466
16848012,0,293.16003,308.1466
16848012,0,293.16476,308.14624
16848012,0,293.16476,308.14624
1.684802e+07,0,293.19772,308.14374
1.684802e+07,0,293.19772,308.14374
1.684802e+07,0,293.19772,308.14374
1.684802e+07,0,293.19772,308.14374
16848026,0,293.21158,308.14203
16848026,0,293.21158,308.14203
1.684803e+07,0,293.21664,308.14084
1.684803e+07,0,293.21664,308.14084
1.684803e+07,0,293.21664,308.14084
1.684803e+07,0,293.21664,308.14084
1.684803e+07,0,293.2168,308.14078
1.684803e+07,0,293.2168,308.14078
16848032,0,293.21756,308.1404
16848032,0,293.21756,308.1404
16848036,0,293.21915,308.13916
16848036,0,293.21915,308.13916
16848038,0,293.21945,308.1384
16848038,0,293.21945,308.1384
16848038,0,293.2195,308.13824
16848038,0,293.2195,308.13824
16848038,0,293.2195,308.13818
16848038,0,293.2195,308.13818
16848044,0,293.22482,308.1365
16848044,0,293.22482,308.1365
16848046,0,293.22482,308.1359
16848046,0,293.22482,308.1359
16848054,0,293.22787,308.1336
16848054,0,293.22787,308.1336
16848056,0,293.22784,308.133
16848056,0,293.22784,308.133
1.684806e+07,0,293.22784,308.13165
1.684806e+07,0,293.22784,308.13165
1.684807e+07,0,293.22787,308.12854
1.684807e+07,0,293.22787,308.12854
1.684807e+07,0,293.22787,308.12833
1.684807e+07,0,293.22787,308.12833
1.684809e+07,0,293.22787,308.1225
1.684809e+07,0,293.22787,308.1225
16848106,0,293.22784,308.11755
16848106,0,293.22784,308.11755
16848108,0,293.22784,308.117
16848108,0,293.22784,308.117
1.684811e+07,0,293.22784,308.11612
1.684811e+07,0,293.22784,308.11612
1.684812e+07,0,293.22784,308.11334
1.684812e+07,0,293.22784,308.11334
16848124,0,293.22784,308.11215
16848124,0,293.22784,308.11215
1.684815e+07,0,293.22784,308.10416
1.684815e+07,0,293.22784,308.10416
1.684818e+07,0,293.22784,308.095
1.684818e+07,0,293.22784,308.095
1.684821e+07,0,293.22784,308.08585
1.684821e+07,0,293.22784,308.08585
1.684824e+07,0,293.22784,308.07666
1.684824e+07,0,293.22784,308.07666
1.684827e+07,0,293.22784,308.0675
1.684827e+07,0,293.22784,308.0675
1.68483e+07,0,293.22784,308.05832
