Time,DOAScon.supFanStart,DOAScon.TSupSetpt.supPrimSP,testBed.massflowrate,testBed.returnairtemp,testBed.outdoorairtemp
1.68E+07,0,294.15,0,293.15,308.15
1.68E+07,0,294.15,0,293.22784,307.96667
1.68E+07,0,294.15,0,293.22784,307.78333
1.68E+07,0,294.15,0,293.22784,307.6
1.69E+07,0,294.15,0,293.22784,307.41666
1.69E+07,0,294.15,0,293.22784,307.23334
1.69E+07,0,294.15,0,293.22784,307.05
1.69E+07,0,294.15,0,293.22784,306.86667
1.69E+07,0,294.15,0,293.22784,306.68332
1.69E+07,0,294.15,0,293.22784,306.5
1.69E+07,0,294.15,0,293.22784,306.31668
1.69E+07,0,294.15,0,293.22784,306.13333
1.69E+07,0,294.08124,0,293.22784,305.95
1.69E+07,0,293.98322,0,293.22784,305.7974
1.69E+07,0,293.904,0,293.22784,305.69275
1.69E+07,0,293.843,0,293.22784,305.6159
1.69E+07,0,293.79968,0,293.22784,305.54663
1.69E+07,0,293.77368,0,293.22784,305.46472
1.69E+07,0,293.7641,0,293.22784,305.35
1.69E+07,0,293.77185,0,293.22784,305.18665
1.69E+07,0,293.79645,0,293.22784,304.9867
1.69E+07,0,293.8408,0,293.22784,304.77158
1.69E+07,0,293.8976,0,293.22784,304.5628
1.69E+07,0,293.95285,0,293.22784,304.38177
1.69E+07,0,294.0054,0,293.22784,304.25
1.69E+07,0,294.0555,0,293.22784,304.15625
1.69E+07,0,294.10336,0,293.22784,304.07224
1.69E+07,0,294.149,0,293.22784,303.99374
1.69E+07,0,294.15,0,293.22784,303.91666
1.69E+07,0,294.15,0,293.22784,303.8368
1.69E+07,0,294.15,0,293.22784,303.75
1.69E+07,0,294.15,0,293.22784,303.65518
1.69E+07,0,294.15,0,293.22784,303.55548
1.69E+07,0,294.15,0,293.22784,303.453
1.69E+07,0,294.15,0,293.22784,303.34985
1.69E+07,0,294.15,0,293.22784,303.24814
1.69E+07,0,294.15,0,293.22784,303.15
1.69E+07,0,293.50357,0,293.22784,303.0581
1.69E+07,0,292.52365,0,293.22784,302.9835
1.69E+07,0,291.3703,0,293.22784,302.94077
1.69E+07,0,291.15,0,293.22784,302.94452
1.69E+07,0,291.15,0,293.22784,303.0094
1.69E+07,0,291.15,0,293.22784,303.15
1.69E+07,0,291.15,0,293.22784,303.3801
1.69E+07,0,291.15,0,293.22784,303.69073
1.69E+07,0,291.15,0,293.22784,304.0625
1.69E+07,0,291.15,0,293.22784,304.47592
1.69E+07,0,291.15,0,293.22784,304.91156
1.69E+07,1,291.15,0,293.22784,305.35
1.69E+07,1,291.15,0.15099779,294.63995,305.8074
1.69E+07,1,291.15,0.27374017,294.91782,306.29816
